/////////////////////////////////////////////////////////////////////////////////////////////////////
/////角色ー定义//////////

#CharTable
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//主人公	? 0～19 ?
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//
//　　　　　　　　　　　　　　　　　　※※　キャラ手帳の並びと合わせて、順を変更しました。　※※
//
//					 フ		  モ		属性
//					 ァ		  ｜							前  |弾氷|noTt|noUV		経	  |
//					 イ		  ??  ? レ			H O	D		後  |Down|noCL|noAr		験	金|アイテム(NO＋1000％)
//	名				 ル		  ン  ? ベ			P P P		上  |Up  |mMAP|noEF		値金個|①		②		③
//	前				 名		  NO  ??ル			％＋＋		??? |STAN|noDW|noMV		％％数|NO％	NO％	NO％			説明
//――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
///	名前（８文字） 	 FILE	 Mot  T LV	属性	HP  OP DP	防御|????|状態|予約		EPGPGcITEM % ITEM %	ITEM %			説明（６４文字）
//000 拉古那		 Ch_003l 001  0 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	19 01		红发的热血宝物猎人。\n驾驶爱机特里斯坦号四处旅行。
474	切斯克的鸡仔 Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//切斯克的鸡仔Ａ	アンデルセン
475	切斯克的鸡仔 Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//切斯克的鸡仔Ｂ  ノトルファス
476	犬				 ch_481b 481  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0	？？？//
477	猫				 EN_050b 483  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//
478	猫				 EN_050c 483  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//
479	猫				 EN_050d 483  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//

480	诺顿的鸽子	 Ch_493  493  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//诺顿的ハト
481	犬				 ch_481b 481  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0	？？？//クラーク（犬）
482	蒙布兰		 ch_482  483  1 15	-----	0   0  0 	----|----|----|----		25 20 0	---- 0	---- 0	---- 0	？？？//蒙布兰（猫）
483	小猫			 EN_050b 483  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//小猫（猫）
484	猫				 EN_050c 483  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//ハッチー（猫）
485	猫				 EN_050d 483  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//ショコラ（猫）


//汎用忍者
486	忍者			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｂ
//487	忍者		 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｃ
488	忍者			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｄ
489	忍者			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｅ
490	忍者			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｆ
491	忍者			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｇ
492	忍者			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｈ

//汎用動物
493	鸽子			 Ch_493  493  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//BTikin

494	子猫			 EN_050b 483  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//宠物店		猫Ｂ
495	猫				 ch_449  483  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//宠物店猫青	猫Ｃ

496	鸡仔			 Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//BTikin
497	牛				 Ch_497  497  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	---- 0	？？？//BTikin
498 卡莎兰		 EN_124  124  3 07	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 0	X
499 老鼠			 EN_140  140  3 13	-----	0   0  0 	----|----|----|----		0 44 0 ---- 0 ---- 0 ---- 0	X



//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//ペット 		? 1000～1100 ?
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//---	 ＿＿＿＿＿＿＿＿ ------  --- -	--	-----	--- -- --	-------------------		- - - ---- - ---- - ---- -	------
1000 猫			 EN_050  1000 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	会盗取技能哦。（最终进化为兽王
1001 狗			 ch_481  1001 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	善于接近战。（最终进化为芬里斯狼
1002 鸡仔			 Ch_a03  1002 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	善于远距离攻击。（最终进化为噬身之蛇
1003 妖精			 Ch_a02  1003 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	会帮忙恢复体力。（最终进化为天使米开勒
1004 机械人偶		 ch_a04  1004 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	使用火药武器援护。（最终进化为机动战士！
1005 大耳兽		 Ch_1005 1005 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	非常弱小的样子真是美中不足。
1006 企鹅娘		 Ch_081b 1006 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	最強無敵究極。
//強化ver
1100 猫②			 EN_050e 1000 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	会盗取技能哦。（最终进化为兽王
1101 狗②			 ch_481c 1001 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	善于接近战。（最终进化为芬里斯狼
1102 鸡仔②		 Ch_a03b 1002 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	善于远距离攻击。（最终进化为噬身之蛇
1103 妖精②			 Ch_a02b 1003 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	会帮忙恢复体力。（最终进化为天使米开勒
1104 机械人偶②		 ch_a04b 1004 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	使用火药武器援护。（最终进化为机动战士！
1105 大耳兽②		 Ch_1105 1105 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	非常弱小的样子真是美中不足。
1106 企鹅娘②		 Ch_081c 1006 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	最强无敌究极。

//2008/08/21魔物メモのために順番修正
/*
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//////////////////////////////////////////////////////////////////////
// //敵 		? 100～199 ?? 200～299 ?? 300～399 ?

//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//	前  |前方向無敵			後  |後方向無敵				上  |上方向無敵				??? |ノック????しない
//	強弾|敵弾き技無効		Down|ダウンしない			Up  |浮かない				STAN|食らいモーションしない
//	noIt|アイテムでない		noCL|クリップしない			mMAP|ミニマップ表示なし		noDW|
//	noUV|UVトラップ無視		noAr|風?水中トラップ無視	noEF|ダメージ他表示しない	noMV|固定
//
//属性書式	TSKH=地/水/火/風	MGB=魔法/剣/爆弾
//			+=吸収 x=無効 H=半減 2=二倍 4=四倍 9=一撃
//				例） MxK+G4B9 	魔法無効/火吸収/剣四倍/爆弾一撃
//
//					 フ		  モ		属性
//					 ァ		  ｜							前  |弾氷|noIt|noUV		経	  |
//					 イ		  ??  ? レ			H O	D		後  |Down|noCL|noAr		験	金|アイテム(NO＋1000％)
//	名				 ル		  ン  ? ベ			P P P		上  |Up  |mMAP|noEF		値金個|①		②
//	前				 名		  NO  ??ル			％＋＋		??? |STAN|noDW|noMV		％％数|NO％	NO％	年齢 icon+flag		説明
//――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
///	名前（８文字） 	 FILE	 Mot  T LV	属性	HP  OP DP	防御|????|状態|予約		EPGPGcITEM % ITEM %	ITEM %		説明（６４文字）
//---	■■■敵■■■■ ------	 --- - --	-----	--- -- --	-------------------		- - - ---- - ---- - ---- -	------
//050 猫			 EN_050  050  4 06	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 0	？？？

100 啄岩鸟		 EN_100  100  3 02	M2		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 01	喙如同岩石一般坚硬的怪鸟。\n会持续进行游击战。
101 石虫		 EN_101  101  3 03	-----	0   0  0  	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 02	由废弃石块所连接构成的魔物。\n经常使用高速旋转攻击。
103 食人魔			 EN_003  003  3 09	-----	0   0  0 	----|-**-|----|----		0 0	0 ---- 0 ---- 0 ---- 03	以棍棒为武器，力大无穷的魔族。\n有时还会防御攻击并展开反击。
104 阿巴顿		 EN_104  104  3 13	-----	0   0  0 	---*|-**-|----|----		0 0	0 ---- 0 ---- 0 ---- 04	拥有结实的身体与\n能够引起地震的蛮力\n只是反应相对迟钝。
107 ★蚁狮	 EN_107  107  3 21	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 00	？？？（★未使用）
109 流弹岩石	 EN_109  109  3 17	-----	0   0  0 	----|----|----|---*		0 0	0 ---- 0 ---- 0 ---- 05	能向空中发射炮弹的岩石。\n原本只在狩猎时使用，\n经过魔族改造后才变成现在的样子。
111 朱雀			 EN_111  111  3 18	-----	0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 06	从空中射出羽毛进行攻击的怪鸟。\n还能拍打翅膀引起旋风。
112 地雷岩怪		 EN_112  112  3 03	B2		0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 07	生长在迷宫地面上的地雷。\n有时会爆炸产生气浪，务必注意。
115 科罗尼		 EN_115  115  3 10	B2		0   0  0 	---*|***-|-*--|----		0 0	0 ---- 0 ---- 0 ---- 08	身体中积存着火球的生物。\n移动迅速、发出沙沙的声音\n不时会喷出火球伤人。
120 ★地雷岩怪	 EN_120  120  3 09	B2		0   0  0   	---*|----|----|---*		0 0 0 ---- 0 ---- 0 ---- 00	？？？（★未使用）
123 白貂	 EN_123  123  3 03	MH		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 09	能将镰刀如同回旋镖\n一般投出的白貂。
124 卡莎兰		 EN_124  124  3 07	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 10	很像兔子的魔物。非常胆小，\n有人靠近就会开始逃跑。

127 钳蟹		 EN_127  127  3 05	B2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 12	拥有引潮能力的蟹型魔兽。\n要注意它会向前移动。
128 木制战车	 EN_128  128  3 12	K2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 13	由大耳兽所操纵的\n老式木制战车，\n可惜没装备任何武器。
129 鲨鱼人	 EN_129  129  3 06	-----	50  0  0 	-*--|--*-|----|----		0 0	0 ---- 0 ---- 0 ---- 14	凶猛的鲨鱼人。\n会使用可怕的利齿袭击猎物。
131 蒸汽战车	 EN_131  131  3 13	B2		0   0  0 	*--*|--*-|----|----		0 0	0 ---- 0 ---- 0 ---- 15	以蒸汽为动力的铁甲战车。\n常用其铁壁般的身体进行冲锋攻击。
132 独眼稻草人	 EN_132  132  3 18	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 16	手持危险的巨大菜刀的稻草人。\n因过度执着于保护农田而变成了魔物。
134 岩背蛙		 EN_134  134  3 05	B2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 17	身体表面如同岩石一般坚硬。\n能够巧妙的进行远距离\n和近距离的攻击巧。
135 大口花	 EN_135  135  3 10	B4		0   0  0 	----|----|----|---*		0 0	0 ---- 0 ---- 0 ---- 18	会用巨大的嘴将敌人吸到身边，\n在对方无法回避的距离发射子弹，\n可以说是一种相当狡猾的生物。
136 黑貂	 EN_136  136  3 14	MH		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 19	使用两把镰刀直取入侵者\n首级的黑貂。其敏捷性超高。
137 壶怪	 EN_137  137  3 06	B2MH	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 20	伪装成壶子的魔物。\n有人接近时会突然动起来\n并咬住对方的手。

138 惩罚者	 EN_138  138  3 13	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 21	地牢中的处刑者。\n能劈下大斧造成冲击波。
139 沙鼹鼠		 EN_139  139  3 03	-----	0   0  0 	---*|----|----|----		0 0	0 ---- 0 ---- 0 ---- 22	生活在砂土中的鼹鼠型魔物。\n能利用卷起的沙尘进行攻击。
140 地狱车轮	 EN_140  140  3 13	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 23	由鼠型魔物操纵的车轮。\n切勿被其可爱的外表吸引\n而遭到碾压。
141 炼狱车轮	 EN_141  141  3 15	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 24	车轮改由两只鼠型魔物操纵，\n速度与精度均得到大幅提升，\n还可以自由转向。
144 空降貂	 EN_144  144  3 18	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 25	进化出可以自由飞行的尾巴，\n能够从高空向下投掷炸弹的熊。
145 扑克兵	 EN_145  145  3 20	K2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 26	能自由操纵身体中的卡牌\n进行战斗的扑克型魔物。\n其身上的牌不分正反面。
146 警卫	 EN_146  146  3 21	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 27	用白铁制成人型士兵。\n豪爽地挥舞双手武器进行战斗。
147 黄泉龟		 EN_147  147  3 11	B2		0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 28	受到伤害就会膨胀，\n最后发生爆炸的大龟。\n只要不攻击它就没危险。
150 寄生蜘蛛		 EN_150  150  3 08	-----	0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 29	腿部细长的蜘蛛型魔物。\n会寄生到接触到的生物上，\n吸收其精力。
151 魔石士兵		 EN_151  151  3 20	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 30	以蓝色魔石为核心制造的人型士兵。\n常用诅咒之枪与激光束进行攻击。

152 棋·马			 EN_152  152  3 22	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 31	酷似国际象棋棋子的魔物。\n只顾着对射程范围内的\n敌人展开突击。
153 棋·兵			 EN_153  153  3 21	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 32	酷似国际象棋棋子的魔物。\n会与大量同种魔物一起包围敌人。
154 棋·车			 EN_154  154  3 22	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 33	酷似国际象棋棋子的魔物。\n动作迟缓，但跳起后的\n践踏攻击极具威胁。
155 泥怪		 EN_155  155  3 14	-----	0   0  0 	----|--*-|----|---*		0 0	0 ---- 0 ---- 0 ---- 34	有生命的泥怪。\n隐藏在沼泽中伺机发动奇袭。
156 魔石士兵－Ｒ	 EN_156  156  3 25	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 35	以红色魔石为核心制造的人型士兵。\n常以混乱之枪及十字激光进行攻击。
157 魔石士兵－Ｇ	 EN_157  157  3 26	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 36	以绿色魔石为核心制造的人型士兵。\n常以剧毒之枪及特殊光弹进行攻击。
158 双头地龙		 EN_158  158  3 20	MH		200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 37	被称为『双头地龙』。\n会用俩个头交替喷出火球。
159 地狱乌贼		 EN_159  159  3 20	MHS+	200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 38	生活在地狱之海的海洋领主。\n其喷出的墨汁本身就威力超强。
160 贝尔塞巴布		 EN_160  160  3 20	MH		200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 39	在魔法大战中大发淫威的风之恶魔。\n会在飞行过程中落下雷击。
161 阿修罗菇		 EN_161  161  3 20	MHBx	200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 40	魔王栽培的蘑菇型生物。\n会放出无数孢子袭击猎物。

//162 夜之领主	 EN_162  162  3 20	MH		200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 41	拥有与蒙布利亚家\n血统不同的吸血鬼之王。\n以其强大的魔力为傲。
162 夜之领主	 EN_162  162  3 20	MH		200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 41	没有真祖血统的吸血鬼之王。\n可惜总是执迷不悟。
163 哨兵		 EN_163  163  3 20	MHBx	200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 42	魔法大战时代人类所创造的\n战斗用人型兵器。其火力\n能轻松毁灭城镇。
164 火凤凰	 EN_164  164  3 20	MHK+	200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 43	无愧于『火焰鸟』称号的魔鸟。\n会使用火焰之雨将现实化为地狱。
165 小型阿修罗菇	 EN_165  165  3 20	MHBx	100 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 44	由阿修罗菇的孢子所生出的分身。\n其敏捷的速度完全超乎常人想象。
168 剑鱼 EN_168  168  3 04	-----	0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 45	全身被利刃包裹的鱼型魔物。\n性格粗暴，受到攻击就会\n发怒并开始追击对手。
201 疯狂魔花	 EN_201  201  3 07	B4		0   0  0  	----|----|----|---*		0 0	0 ---- 0 ---- 0 ---- 46	生长在金暗之森中的魔花。\n受到刺激就会喷射毒气，\n还能将种子如子弹般射出。
203 蠕虫			 EN_203  203  3 03	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 47	会与同伴合力向对手猛扑过去的蠕虫。\n具有死亡时产下幼虫的习性。
204 幼年蠕虫	 	 EN_204  203  3 01	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 48	会与伙伴合力向对手猛扑过去的蠕虫。\n因为是幼虫，所以智力相对低下。
205 电击水母	 EN_205  205  3 04	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 49	一边远离对手一边放电的水母型魔物。\n注意不要被其触手碰到。
206 岩眼怪	 EN_206  206  3 23	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 50	会使用冲锋攻击的可怕魔物。\n身体被反射魔法的岩石保护着……

207 颜眼怪	 EN_207  207  3 23	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 51	只由大脑与岩球构成的可怕魔物。\n虽然没有了岩石的保护，但仍要\n小心它的光束攻击。
208 大耳兽		 EN_208  208  3 01	-----	50  0  0    ----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 52	过着群居生活的大耳兽。\n虽然很弱小，但常被当作\n宠物来饲养。
209 哥雷姆		 EN_209  209  3 03	B2		100 0  0  	---*|*-*-|----|----		0 0	0 ---- 0 ---- 0 ---- 53	由魔法所创造出来的人型石像。\n会锤击地面引发冲击波。
210 恐怖蘑菇		 EN_210  210  3 07	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 54	受到攻击就会播撒孢子的蘑菇人。\n经常混杂在普通的蘑菇中。
211 电击魔鬼鱼	 EN_211  211  3 06	-----	75  0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 55	身体带电的鱼型魔兽。\n和人类很亲近，但\n碰到它就会触电。
212 炎之魔人		 EN_212  212  3 11	S2K+	100 0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 56	由火焰聚集形成的魔人。\n会使用火球与瞬间移动\n来玩弄敌人。
213 雪人		 EN_213  213  3 20	SHHH	100 0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 57	别名『杀手猿』。\n会使用蛮力袭击人类。\n对其子女相当地溺爱。
214 暗夜蝙蝠		 EN_214  214  3 02	M2		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 58	潜伏于黑暗中的蝙蝠魔物。\n其超音波会让人觉得很不舒服
215 火微子		 EN_215  215  3 10 	K+S4	0	0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 59	掌管火焰的精灵结晶体。\n主食为烛火。
216 地微子			 EN_216  216  3 02	T+H4	0	0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 60	地を掌管大地的精灵结晶体。\n主食为矿石碎片。

217 水微子			 EN_217  217  3 05 	S+K4	0	0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 61	水を掌管水流的精灵结晶体。\n主食为水中的泡沫。
218 风微子		 EN_218  218  3 09	H+T4	0	0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 62	掌管风的精灵结晶体。\n主食为花的种子。
219 兔斯基	 EN_219  219  3 09	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 63	能边传送边用魔法弹攻击。\n并非穿ＣＯＳ服之人，\n而是兔子的亚人化种。
220 无头骑士		 EN_220  220  3 13	B2		50  0  0  	---*|--*-|----|----		0 0	0 ---- 0 ---- 0 ---- 64	以诅咒为动力盔甲。\n混在普通的盔甲中为城堡\n排除侵入者的威胁。
221 木制大耳兽		 EN_221  221  3 14	K2		100 0  0  	---*|--*-|----|----		0 0	0 ---- 0 ---- 0 ---- 65	大耳兽搭乘的木制兵器。\n会扔出右手的铁球进行攻击。\n特别易燃，故严禁烟火。
222 丧尸			 EN_222  222  3 13	MH		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 66	由于对生者的嫉妒而复苏的丧尸。\n会从土地中爬出，围攻猎物。
223 青椒人		 EN_223  223  3 06	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 67	有人为其浇水就很高兴的蔬菜人。\n由于被小孩子们所讨厌，\n所以有些愤世嫉俗。
224 番茄人	 EN_224  223  3 07	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 68	有人为其浇水就很高兴的蔬菜人。\n会与其他蔬菜人合力进行攻击。
225 火鸡		 EN_225  225  3 11	S2K+	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 69	『火焰鸟』的亚种。\n受到巨大伤害时\n会逃跑。
226 消防大耳兽 EN_226  226  3 09	Kx		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 70	身穿完全防火服装的大耳兽。\n使用扳手的攻击颇具威力。

227 大耳兽骑士	 EN_227  227  3 13	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 71	穿着骑士铠甲的大耳兽。\n用剑与盾摆好架势后\n展开的冲锋攻击总是能出人不意。
228 大耳兽达人		 EN_228  228  3 15	MH---	100 0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 72	在修行中激发出其\n潜在能力的大耳兽达人。\n但总是固执地追逐猎物。
229 万能女仆	 EN_229  229  3 14	B2		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 73	在蒙布利亚城中严守礼仪的\n女仆机器人。有在行礼后\n才开始战斗的习惯。
230 宝箱怪		 EN_230  230  3 13	B2Mx	0   0  0  	-***|----|----|----		0 0	0 ---- 0 ---- 0 ---- 74	伪装成宝箱的魔物。\n受欲望诱惑的话就会尝到苦头，\n这也是冒险的基本常识。
231 幼年雪人	 EN_231  231  3 13	SHHH	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 75	幼年雪人。\n会向对手投掷香蕉。\n但浪费食物是不对的。
232 未确认生命体α	 EN_232  232  3 27	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 76	来历不明的生物。\n近距离战时常用旋转攻击，\n远距离战则用激光攻击。
233 未确认生命体β	 EN_233  233  3 28	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 77	来历不明的生物。\n能在高速移动后展开连续攻击。\n极具威胁。
234 未确认生命体γ	 EN_234  234  3 28	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 78	来历不明的生物。\n拥有镰刀型的双臂，\n会连续使用横劈。
235 未确认生命体Σ	 EN_235  235  3 27	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 79	来历不明的生物。\n能像水蜘蛛一般接近对手，\n然后趁机使用头部攻击。

// // 色違い
250 雌性大耳兽		 EN_250  208  3 05	-----	50  0  0    ----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 80	花饰是雌性大耳兽最大的魅力点，\n但其凶暴程度远比雄性高。
251 魔族蝙蝠		 EN_251  251  3 05	M2   	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 81	魔族的其中一种使魔。\n能利用妨碍听觉的超声波\n轻松解决小型猎物。
255 森林大耳兽	 EN_255  255  3 08	-----	50  0  0    ----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 82	搬到森林中居住的大耳兽。\n比一般的大耳兽更为心灵手巧，\n兴趣是业余时间做木工。
256 木貂	 EN_256  123  3 10	MH		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 83	会使用空气刃，\n居住在森林中的白貂。\n以晒成小麦色的皮为傲。
260 巴莎兰		 EN_124  260  3 14	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 84	用钢铁头盔保护身体的卡莎兰。\n能将耳朵与尾巴也缩到头盔之中，\n防御无懈可击。
263 死亡魔虫	 EN_263  263  3 15	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 85	使用坚硬的身体扑向对手的魔虫。\n在濒死时会产下两只幼虫。
264 成长期魔虫		 EN_264  203  3 16	-----	-50 0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 86	虽然没有成虫的防御力和繁殖能力，\n但是一拥而上时同样十分恐怖。
