/////////////////////////////////////////////////////////////////////////////////////////////////////
/////キャラクター定義//////////

#CharTable
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//主人公	? 0～19 ?
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//
//　　　　　　　　　　　　　　　　　　※※　キャラ手帳の並びと合わせて、順を変更しました。　※※
//
//					 フ		  モ		属性
//					 ァ		  ｜							前  |弾氷|noTt|noUV		経	  |
//					 イ		  ??  ? レ			H O	D		後  |Down|noCL|noAr		験	金|アイテム(NO＋1000％)
//	名				 ル		  ン  ? ベ			P P P		上  |Up  |mMAP|noEF		値金個|①		②		③
//	前				 名		  NO  ??ル			％＋＋		??? |STAN|noDW|noMV		％％数|NO％	NO％	NO％			説明
//――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
///	名前（８文字） 	 FILE	 Mot  T LV	属性	HP  OP DP	防御|????|状態|予約		EPGPGcITEM % ITEM %	ITEM %			説明（６４文字）
478	猫				 EN_050c 483  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//
479	猫				 EN_050d 483  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//

480	诺顿的鸽子	 Ch_493  493  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//诺顿的ハト
481	犬				 ch_481b 481  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0	？？？//クラーク（犬）
482	蒙布兰		 ch_482  483  1 15	-----	0   0  0 	----|----|----|----		25 20 0	---- 0	---- 0	---- 0	？？？//蒙布兰（猫）
483	子猫			 EN_050b 483  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//ミーちゃん（猫）
484	猫				 EN_050c 483  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//ハッチー（猫）
485	猫				 EN_050d 483  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//ショコラ（猫）


//汎用忍者
486	忍者			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｂ
//487	忍び		 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｃ
488	忍者			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｄ
489	忍者			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｅ
490	忍者			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｆ
491	忍者			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｇ
492	忍者			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｈ

//汎用動物
493	鸽子			 Ch_493  493  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//BTikin

494	子猫			 EN_050b 483  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//ペット店		猫Ｂ
495	猫				 ch_449  483  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//ペット店猫青	猫Ｃ

496	鸡仔			 Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//BTikin
497	牛				 Ch_497  497  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	---- 0	？？？//BTikin
498 鸡蛋		 EN_124  124  3 07	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 0	X
499 老鼠			 EN_140  140  3 13	-----	0   0  0 	----|----|----|----		0 44 0 ---- 0 ---- 0 ---- 0	X



//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//ペット 		? 1000～1100 ?
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//---	 ＿＿＿＿＿＿＿＿ ------  --- -	--	-----	--- -- --	-------------------		- - - ---- - ---- - ---- -	------
1000 猫			 EN_050  1000 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	会盗取技能哦。（最终进化为兽王
1001 狗			 ch_481  1001 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	善于接近战。（最终进化为芬里斯狼
1002 鸡仔			 Ch_a03  1002 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	善于远距离攻击。（最终进化为噬身之蛇
1003 妖精			 Ch_a02  1003 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	会帮忙恢复体力。（最终进化为天使米开勒
1004 机关人		 ch_a04  1004 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	使用火药武器援护。（最终进化为机动战士！
1005 大耳兽		 Ch_1005 1005 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	非常弱小的样子真是美中不足。
1006 ペンギン		 Ch_081b 1006 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	最強無敵究極。
//強化ver
1100 猫②			 EN_050e 1000 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	会盗取技能哦。（最终进化为兽王
1101 狗②			 ch_481c 1001 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	善于接近战。（最终进化为芬里斯狼
1102 鸡仔②		 Ch_a03b 1002 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	善于远距离攻击。（最终进化为噬身之蛇
1103 妖精②			 Ch_a02b 1003 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	会帮忙恢复体力。（最终进化为天使米开勒
1104 机关人②		 ch_a04b 1004 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	使用火药武器援护。（最终进化为机动战士！
1105 大耳兽②		 Ch_1105 1105 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	非常弱小的样子真是美中不足。
1106 ペンギン②		 Ch_081c 1006 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	最強無敵究極。

//2008/08/21魔物メモのために順番修正
/*
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//////////////////////////////////////////////////////////////////////
// //敵 		? 100～199 ?? 200～299 ?? 300～399 ?

//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//	前  |前方向無敵			後  |後方向無敵				上  |上方向無敵				??? |ノック????しない
//	強弾|敵弾き技無効		Down|ダウンしない			Up  |浮かない				STAN|食らいモーションしない
//	noIt|アイテムでない		noCL|クリップしない			mMAP|ミニマップ表示なし		noDW|
//	noUV|UVトラップ無視		noAr|風?水中トラップ無視	noEF|ダメージ他表示しない	noMV|固定
//
//属性書式	TSKH=地/水/火/風	MGB=魔法/剣/爆弾
//			+=吸収 x=無効 H=半減 2=二倍 4=四倍 9=一撃
//				例） MxK+G4B9 	魔法無効/火吸収/剣四倍/爆弾一撃
//
//					 フ		  モ		属性
//					 ァ		  ｜							前  |弾氷|noIt|noUV		経	  |
//					 イ		  ??  ? レ			H O	D		後  |Down|noCL|noAr		験	金|アイテム(NO＋1000％)
//	名				 ル		  ン  ? ベ			P P P		上  |Up  |mMAP|noEF		値金個|①		②
//	前				 名		  NO  ??ル			％＋＋		??? |STAN|noDW|noMV		％％数|NO％	NO％	年齢 icon+flag		説明
//――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
///	名前（８文字） 	 FILE	 Mot  T LV	属性	HP  OP DP	防御|????|状態|予約		EPGPGcITEM % ITEM %	ITEM %		説明（６４文字）
//---	■■■敵■■■■ ------	 --- - --	-----	--- -- --	-------------------		- - - ---- - ---- - ---- -	------
//050 ねこ			 EN_050  050  4 06	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 0	？？？

100 岩嘴枭		 EN_100  100  3 02	M2		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 01	拥有和岩石一样坚硬的嘴的怪鸟\n会不断的Ｈｉｔ　Ａｎｄ　Ｒｕｎ。
101 はこむかで		 EN_101  101  3 03	-----	0   0  0  	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 02	废弃物集合在一起\n被魔物化的东西。使用高速的\n旋转攻击。
103 大耳兽			 EN_003  003  3 09	-----	0   0  0 	----|-**-|----|----		0 0	0 ---- 0 ---- 0 ---- 03	使用棍棒，对自己力量很有自信的\n魔族。会使用攻击反击。
104 あばどん		 EN_104  104  3 13	-----	0   0  0 	---*|-**-|----|----		0 0	0 ---- 0 ---- 0 ---- 04	绝对不会畏惧，拥有巨大的身躯\n随时可以发出地震般的怪力\n但是行动很迟钝。
107 ★蚁狮	 EN_107  107  3 21	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 00	？？？（★未使用）
109 榴弹岩怪	 EN_109  109  3 17	-----	0   0  0 	----|----|----|---*		0 0	0 ---- 0 ---- 0 ---- 05	向空中发射炮弹的岩石怪。\n原来是用来狩猎的道具\n被魔族改造了。
111 朱雀			 EN_111  111  3 18	-----	0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 06	从空中发射锐利的羽毛\n伤人的怪鸟。扇动翅膀可以\n发起龙卷风。
112 地雷岩怪		 EN_112  112  3 03	B2		0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 07	洞窟地面附着中的\n地雷。踩到时发出爆风伤人。\n需要特别注意。
115 ころにー		 EN_115  115  3 10	B2		0   0  0 	---*|***-|-*--|----		0 0	0 ---- 0 ---- 0 ---- 08	身体中积存着火球的生物。\n移动迅速、发出沙沙的声音\n不时会喷出火球伤人。
120 ★地雷岩怪	 EN_120  120  3 09	B2		0   0  0   	---*|----|----|---*		0 0 0 ---- 0 ---- 0 ---- 00	？？？（★未使用）
123 白貂	 EN_123  123  3 03	MH		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 09	把黄鼠狼像飞镖一样\n的丢过来的持有魔力\n的白貂。
124 毛球		 EN_124  124  3 07	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 10	有点像兔子的妖怪。\n非常的胆小、\n一接近就逃跑了。

127 がにめで		 EN_127  127  3 05	B2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 12	拥有让潮汐发生的能力\n螃蟹形状的怪物。\n遇到时要小心。
128 ちゃりおっと	 EN_128  128  3 12	K2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 13	大耳兽の操縦する、\nこだわりの木製戦車。\n武器の類は積んでいない。
129 わーしゃーく	 EN_129  129  3 06	-----	50  0  0 	-*--|--*-|----|----		0 0	0 ---- 0 ---- 0 ---- 14	獰猛なサメの半魚人。\n恐ろしいキバで獲物に襲い\n掛かる。
131 すたんぴーど	 EN_131  131  3 13	B2		0   0  0 	*--*|--*-|----|----		0 0	0 ---- 0 ---- 0 ---- 15	蒸気机関で走る鉄巨人。\n鉄壁のボディで突進攻撃を\n行う。
132 いちもくれん	 EN_132  132  3 18	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 16	巨大包丁を持った危険な\nカカシ。畑を守りたい\n過度な想いで妖怪化。
134 いわがえる		 EN_134  134  3 05	B2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 17	表面が岩のように硬い蛙。\n遠距離　近距離の攻撃を\n巧みに使い分ける。
135 おおぐちぼや	 EN_135  135  3 10	B4		0   0  0 	----|----|----|---*		0 0	0 ---- 0 ---- 0 ---- 18	巨大な口で吸い寄せ、\n逃げられないようにしてから\n弾丸を放つ、狡猾な植物。
136 くろおこじょ	 EN_136  136  3 14	MH		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 19	鎌の二刀流で侵入者の首を\n狙う、真っ黒なおこじょ。\n敏捷性が高い。
137 つぼみみっく	 EN_137  137  3 06	B2MH	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 20	壶に擬態したモンスター。\n近づくと突然動きだし、\n冒険者の手に噛み付く。

138 ぱにっしゃー	 EN_138  138  3 13	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 21	地下牢の処刑人。\n振り下ろされる斧からは\n衝撃波が発生する。
139 すなもぐら		 EN_139  139  3 03	-----	0   0  0 	---*|----|----|----		0 0	0 ---- 0 ---- 0 ---- 22	砂の中で暮らすモグラの\nモンスター。\n砂を巻き上げて攻撃する。
140 じごくぐるま	 EN_140  140  3 13	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 23	魔の鼠が操縦する車輪。\n可愛さに惑わされて\n轢かれないよう注意。
141 れんごくぐるま	 EN_141  141  3 15	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 24	二匹で操縦することで速度\nと精度が上がった車輪。\nコーナリングも完璧。
144 くまこぷたー	 EN_144  144  3 18	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 25	空が飛べるように尻尾が\n進化した熊。手の届かぬ\n空中から爆弾を投下する。
145 とらんぷまん	 EN_145  145  3 20	K2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 26	体のカードを自在に操って\n戦う、トランプ型の魔物。\nカードに裏表がない。
146 がーでぃあん	 EN_146  146  3 21	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 27	ブリキ製の人形兵士。\n両手の武器を豪快に\n振り回して戦う。
147 あーけろん		 EN_147  147  3 11	B2		0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 28	危害を加えると膨張し、\n最終的に大爆発する大亀。\n攻撃しなければ無害。
150 あるけにー		 EN_150  150  3 08	-----	0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 29	細長い足のクモの魔物。\n触れたものに寄生し、\n精力を吸収する。
151 そるじゃー		 EN_151  151  3 20	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 30	蒼い魔石を中心に作られた\n人形兵士。呪いの槍と\nレーザーを用いる。

152 ないと			 EN_152  152  3 22	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 31	盤ゲームの駒に似た怪物。\n射程圏内の敵に向かって\nひたすら突進する。
153 ぽーん			 EN_153  153  3 21	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 32	盤ゲームの駒に似た怪物。\n相当な数の同属で群がり\n敵を取り囲む。
154 るーく			 EN_154  154  3 22	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 33	盤ゲームの駒に似た怪物。\n鈍いが、ジャンプからの\n踏み潰しは脅威。
155 まっどねす		 EN_155  155  3 14	-----	0   0  0 	----|--*-|----|---*		0 0	0 ---- 0 ---- 0 ---- 34	生命の宿る泥の怪物。\n沼に隠れて奇襲攻撃を\nしかける。
156 れぎおん－Ｒ	 EN_156  156  3 25	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 35	红い魔石を中心に作られた\n人形兵士。混乱の槍と\n四方に放つレーザーで戦う。
157 れぎおん－Ｇ	 EN_157  157  3 26	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 36	翠の魔石を中心に作られた\n人形兵士。毒性の槍と\n方向転換する特殊光弾を使う。
158 ヒュドラ		 EN_158  158  3 20	MH		200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 37	『双頭の地竜』と呼ばれ、\n二つの頭から交互に\n火の玉を撃ちだす。
159 クラーケン		 EN_159  159  3 20	MHS+	200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 38	地獄の海に住む海の王。\n強烈な勢いの墨は\nそれ自体が強力な攻撃となる。
160 ベルゼバブ		 EN_160  160  3 20	MH		200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 39	魔法大戦で猛威を振るった\n風の悪魔。\n飛びながら雷を落とす。
161 アスラタケ		 EN_161  161  3 20	MHBx	200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 40	魔王によって栽培された\nキノコ型生命体。\n胞子を無限に飛ばして獲物を襲う。

//162 ナイトロード	 EN_162  162  3 20	MH		200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 41	ムーンブリア家とは异なる\n血統を持つ吸血鬼の王。\n強大な魔力を誇る。
162 ナイトロード	 EN_162  162  3 20	MH		200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 41	真祖の血統から外れた\n後天的な吸血鬼たちの王。\n妄執に支配されている。
163 センチネル		 EN_163  163  3 20	MHBx	200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 42	魔法大戦時に人間が造った\n戦闘人形。町一つを簡単に\n滅ぼす火力を積んでいる。
164 フェニックス	 EN_164  164  3 20	MHK+	200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 43	『火焔鳥』の名に恥じぬ\n姿を持つ魔鳥。火の雨で\n現世を地獄と化す。
165 コアスラタケ	 EN_165  165  3 20	MHBx	100 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 44	アスラタケの胞子から生ま\nれた分身。キノコとは思え\nない程のスピードを持つ。
168 そーどふぃっしゅ EN_168  168  3 04	-----	0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 45	全身刃物で出来た魔の魚。\n気性が荒く、攻撃すると\n怒って追跡してくる。
201 まっどふらわー	 EN_201  201  3 07	B4		0   0  0  	----|----|----|---*		0 0	0 ---- 0 ---- 0 ---- 46	金闇の森に自生する魔花。\n刺激を受けるとガスを噴射\nし、種子の弾丸を撃つ。
203 わーむ			 EN_203  203  3 03	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 47	仲間と力をあわせて飛びか\nかる虫。自然死の際に\n子供を産む習性を持つ。
204 ちびわーむ	 	 EN_204  203  3 01	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 48	仲間と力をあわせて飛びか\nかる虫。子供なので\nまだ知能が低い。
205 しびれくらげ	 EN_205  205  3 04	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 49	逃げながら放電するくらげ\nのモンスター。\n触手に触れないように注意。
206 かおろっくあい	 EN_206  206  3 23	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 50	目玉から光線を放つ不気味な怪物。\n岩のバリアで身を守っているが…

207 かおしっくあい	 EN_207  207  3 23	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 51	脳と目玉のみの不気味な\n怪物。岩のバリアは無くな\nったが光線には注意。
208 大耳兽		 EN_208  208  3 01	-----	50  0  0    ----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 52	群れで暮らす犬の魔物。\n弱いので愛玩動物として\n飼われてしまうことも。
209 ごーれむ		 EN_209  209  3 03	B2		100 0  0  	---*|*-*-|----|----		0 0	0 ---- 0 ---- 0 ---- 53	魔術で作られた石人形。\n地面を殴って衝撃波を\n発生させる。
210 またんご		 EN_210  210  3 07	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 54	叩くと胞子をまきちらす\nきのこ人間。普通のきのこ\nにまぎれてしまう。
211 しびれまんた	 EN_211  211  3 06	-----	75  0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 55	帯電体質を持つ魔獣。\n性格は人懐こいが、触れる\nと感電してしまう。
212 いふりーと		 EN_212  212  3 11	S2K+	100 0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 56	炎が集まり生まれた魔人。\n火炎弾とワープ移動で\n敵を翻弄する。
213 いえてぃ		 EN_213  213  3 20	SHHH	100 0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 57	別名「ですさるーん」。\n筋力に任せて人を襲う。\n子供思いだが少々過保護。
214 ばっとくん		 EN_214  214  3 02	M2		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 58	暗闇に潜むコウモリの\nモンスター。超音波で\n耳へ不快感を与える。
215 ふれいむ		 EN_215  215  3 10 	K+S4	0	0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 59	火を司る精霊の結晶体。\n主食はロウソクの火。
216 あーす			 EN_216  216  3 02	T+H4	0	0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 60	地を司る精霊の結晶体。\n主食は鉱石の欠片。

217 あくあ			 EN_217  217  3 05 	S+K4	0	0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 61	水を司る精霊の結晶体。\n主食は水中の泡。
218 すぷらいと		 EN_218  218  3 09	H+T4	0	0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 62	風を司る精霊の結晶体。\n主食は花の種。
219 わーらびっと	 EN_219  219  3 09	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 63	空間移動しながら魔法弾を\n撃ってくる。着ぐるみでは\nなく、ウサギの亜人家種。
220 でゅらはん		 EN_220  220  3 13	B2		50  0  0  	---*|--*-|----|----		0 0	0 ---- 0 ---- 0 ---- 64	呪いによって動き出した\n甲冑像。他の鎧に紛れ、\n侵入者から城を守る。
221 でくぼっと		 EN_221  221  3 14	K2		100 0  0  	---*|--*-|----|----		0 0	0 ---- 0 ---- 0 ---- 65	大耳兽が搭乗する木人。\n右手の鉄球をブン回す。\n火気厳禁。よく燃えます。
222 ぞんび			 EN_222  222  3 13	MH		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 66	生者を羨む動き回る屍。\n地から這い出て来て、\n群れで獲物を襲う。
223 ぴーまん		 EN_223  223  3 06	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 67	水をあげると喜ぶ野菜人。\n小さな子供に嫌われて\nやさぐれ気味。
224 とまとにあん	 EN_224  223  3 07	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 68	水をあげると喜ぶ野菜人。\n他の野菜人と力を合わせて\n攻撃する。
225 ひのとり		 EN_225  225  3 11	S2K+	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 69	かの『火焔鳥』の亜種。\n大ダメージを受けると逃げ\n出すチキンハート。
226 火焰大耳兽 EN_226  226  3 09	Kx		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 70	炎を完全にを防ぐ耐火服を\n着込んだ大耳兽。スパナ\n攻撃はなかなかの威力。

227 大耳兽骑士	 EN_227  227  3 13	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 71	騎士の鎧を着た大耳兽。\n剣と盾を構えたあとの突進\n攻撃で敵の意表を突く。
228 こぼるたん		 EN_228  228  3 15	MH---	100 0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 72	修行の末、己の潜在能力を\n引き出した達人大耳兽。\n獲物を執拗に追い回す。
229 ばんのうめいど	 EN_229  229  3 14	B2		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 73	ムーンブリア城に仕えてい\nた梅ドロボ。おじぎの後\nに戦闘開始する几帳面。
230 みみっく		 EN_230  230  3 13	B2Mx	0   0  0  	-***|----|----|----		0 0	0 ---- 0 ---- 0 ---- 74	宝箱の姿のモンスター。\n欲をかいて近づくと痛い目\nを見るという冒険の基本。
231 こどもいえてぃ	 EN_231  231  3 13	SHHH	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 75	子供のいえてぃ。\nバナナを投げつける。食べ物を\n粗末にしてはいけません。
232 あんのうん－α	 EN_232  232  3 27	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 76	正体不明の生物。\n近づくと回転して攻撃し、\n離れるとビームを撃つ。
233 あんのうん－β	 EN_233  233  3 28	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 77	正体不明の生物。\n高速移動からの連続攻撃は\n脅威の一言。
234 あんのうん－γ	 EN_234  234  3 28	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 78	正体不明の生物。\n手が鎌のようになっており、\n強烈な横薙ぎを繰り出す。
235 あんのうん－Σ	 EN_235  235  3 27	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 79	正体不明の生物。\nアメンボのように近づき、\nスキをついて頭突きを放つ。

// // 色違い
250 こぼるてす		 EN_250  208  3 05	-----	50  0  0    ----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 80	花飾りがチャームポイント\nの、メスの大耳兽。\nオスより凶暴。
251 ばっとさん		 EN_251  251  3 05	M2   	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 81	魔族の使い魔の一種。\n聴覚を狂わせる超音波で\n小さな獲物を簡単に仕留める。
255 もり大耳兽	 EN_255  255  3 08	-----	50  0  0    ----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 82	森の中にその住処を移した\n大耳兽。通常より手先が\n器用で、日曜大工が趣味。
256 もりおこじょ	 EN_256  123  3 10	MH		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 83	カマイタチを会得した、\n森に暮らすおこじょ。\n小麦色の日焼け肌が自慢。
260 ぱさらん		 EN_124  260  3 14	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 84	鋼鉄の兜で体を覆った\nけさらん。耳と尻尾を中に\n隠した完全防御は鉄壁。
263 ですくろうらー	 EN_263  263  3 15	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 85	硬い体で飛びかかる魔蟲。\n生命の危机を感じると\n子供を２匹も生み落とす。
264 くろうらー		 EN_264  203  3 16	-----	-50 0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 86	成虫ほどの固さや繁殖力は\n無いが、大挙して人を\n襲う様は恐ろしいの一言。
265 めたじぇりー	 EN_265  311  3 13	S+K2	50  0  0  	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 87	魔族によって精製された、\n生きる液体金属。人体に\n有害な金属を数多く含む。
266 はねいもり		 EN_266  302  3 14	-----	0   0  0  	----|---*|----|----		0 0 0 ---- 0 ---- 0 ---- 88	全身バネの蜥蜴の魔物。\n高い運動能力で空から獲物\nを仕留める。
